sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
J-4!OQPNNF)8(<[54#E;H0,RUA OTACILIO LIRA CABRAL,172,58200000,ROSARIO,GUARABIRA,PB,"-6,8575306","-35,496287"
"I(_+UREVT4J+C5'R[V>A1""",AVENIDA CARLOS JEREISSATI,860,61900225,CONJ JEREISSATI,MARACANAU,CE,"-3,8776931","-38,6180254"
KHKQL;3%T.@7^QC.MJC9&),PRACA LEONEO MODESTO LOPES,13,44800000,UMBUZEIRO,MUNDO NOVO,BA,"-11,8545183","-40,4717578"
"C*OI$WD<>M7/'W-J26#5>(",RUA JOAQUIM TEODCARVALHO,1294,38301115,PLATINA,ITUIUTABA,MG,"-18,9782078","-49,4791801"
"OI=+,LO#M``[`0*7-:$_4-",AVENIDA JATUARANA,207,76806001,FLORESTA,PORTO VELHO,RO,"-8,7907143","-63,8814379"
"AT>Y6.K.406<=,&+^$PHX+",RESIDENCIAL SE MACHADO,SN,63630000,SANTA CRUZ DO BANABUIU,PEDRA BRANCA,CE,"-5,4545752","-39,7177495"
"H""Z6+$_'<`6BN&!^8`MOT(",RUA ZONA RURAL,SN,29295000,SAO JOSE DE FRUTEIRAS,VARGEM ALTA,ES,"-20,674002","-41,0098203"
"IRG""<:=OY4V?F1`J'A-D1'",AVENIDA 15 DE NOVEMBRO,561,15990510,CENTRO,MATAO,SP,"-21,6055906","-48,3667425"
"DMXD4KI&<XQ*VP\S\.DY.,",AVENIDA TREZE DE MAIO,110,28010260,CENTRO,CAMPOS DOS GOYTACAZES,RJ,"-21,760096","-41,3238991"
"GP>?QPU'L[X""M_UF$U'RO$",AVENIDA SUMARE,2022,05016000,PERDIZES,SAO PAULO,SP,"-23,5444787","-46,6767161"
"A0SV<>.GOS''G)P""HWBH)#",AVENIDA BRASIL,3,17290000,VILA NOVA,MACATUBA,SP,"-22,518768","-48,7175509"
N1X%5O^PJHEYFV0<H(RJZ$,RUA JAMES HOLLAND,575,01138000,BARRA FUNDA,SAO PAULO,SP,"-23,5222372","-46,65637"
"JU[,6#30RD1#1PSO_3NF5#",RUA BRASILIA,10,16250000,CENTRO,CLEMENTINA,SP,"-21,5640906","-50,4493727"
"M8R@<\M6R:V1""C^;:%B<5&",RUA SILVEIRAS,776,14740000,CENTRO,VIRADOURO,SP,"-20,8676227","-48,2952036"
"F\<,(B'7^K9UYRX/9`LQK%",RUA CEARA,2010,68633000,CENTRO,DOM ELISEU,PA,"-4,2966107","-47,5566082"
"N@W;4'E?UQ]OQ_4?3(^#7-",RUA ESPIRITO SANTO,52,29390000,QUILOMBO,IUNA,ES,"-20,3517276","-41,5300589"
"C_""P0/??2Z.@WUM\_:;:]""",RUA SAO JORGE,49,28230000,SANTA CLARA,SAO FRANCISCO DE ITABAPOANA,RJ,"-21,4706831","-41,1095274"
"A\Y%^_0,K4AWS[H.1BPT!%",AVENIDA DE PINEDO,519,04764000,SOCORRO,SAO PAULO,SP,"-23,669781","-46,7144211"
"J""]4M<@::;JJ%>2T8R=TG(",AVENIDA ANGELO CARNAVALE,332,18900000,ESTACAO,SANTA CRUZ DO RIO PARDO,SP,"-22,9076864","-49,6175647"
"C!OCIKW7KZV])UY]:X<)],",RUA MARANHAO,316,65901590,CENTRO,IMPERATRIZ,MA,"-5,5265055","-47,4818276"
LRG55V:V(@].9=DWM@[V\*,QN 225 CONJUNTO 1,0,72345350,SAMAMBAIA NORTE SAMAMBAIA,BRASILIA,DF,"-15,801519","-47,860297"
K$/6R&(OQ:@/4VY[&:V:U$,RUA GENERAL ISIDORO,510,17800000,CENTRO,ADAMANTINA,SP,"-21,691496","-51,0745651"
"GA8N9QUCFC#^UPS9,'5LU!",AVENIDA JOAO PINHEIRO,2030,38400712,OPERARIO,UBERLANDIA,MG,"-18,905601","-48,2698985"
A#O=1232M+)AL4:P&@[O#-,RUA TITO,535,05051000,VILA ROMANA,SAO PAULO,SP,"-23,5282347","-46,6970347"
"H8M]+'>BD<H82LR_U4RY'&",AVENIDA CELSO GARCIA,1863,03015000,TATUAPE,SAO PAULO,SP,"-23,5371546","-46,5943463"
"J6<@&""T5""RKE4*LM)[B>W&",RUA MOISES DE CORENA,502,08475170,CIDADE TIRADENTES,SAO PAULO,SP,"-23,5869798","-46,3996998"
"I%[T(X*Y'1//C3"";.*),//",RUA CESAR DIAS MOREIRA,160,08743410,JARDIM SANTA TERESA,MOGI DAS CRUZES,SP,"-23,5545429","-46,2143925"
"NE<`03,F1@ZV%JM-BGDR,!",RUA RF 001,SN,74684001,RESIDENCIAL FELICIDADE,GOIANIA,GO,"-16,6109071","-49,2226087"
OW/Q_<>$*X;WSYT8NTBVN0,CALCADAO TULIO FIUZA DE CARVALHO,71,88501000,CENTRO,LAGES,SC,"-27,8154996","-50,3284718"
"I1'(DSC8+PP'BSLC&`JF`0",RUA RIO GUANDU,599,87043130,JARDIM NOVO OASIS,MARINGA,PR,"-23,4047441","-51,8932295"
CPH(?GDV?Z4K6[$Q&#R>=*,RUA VARNHAGEN,44,01022010,CENTRO,SAO PAULO,SP,"-23,544255","-46,633292"
"CAQ""_`?ED(S0KS-T-/U[R/",RUA ANTONIO BOSO,26,18682779,DISTRITO DE ALFREDO GUEDES,LENCOIS PAULISTA,SP,"-22,6031745","-48,8041443"
