chave_fato,quantidade_empresa,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,faixa_veiculos
4841694000140,4841694000140,,,,0 a 5
66508078000120,66508078000120,,,,0 a 5
11726294000150,11726294000150,,1.0,0.0,0 a 5
11959342000150,11959342000150,,,,0 a 5
34481390000180,34481390000180,,,,0 a 5
12555119000100,12555119000100,,,,0 a 5
7907566000140,7907566000140,,,,0 a 5
1682355000170,1682355000170,,1.0,0.0,0 a 5
8455770000130,8455770000130,,1.0,0.0,0 a 5
74034307000140,74034307000140,,,,0 a 5
14672094000150,14672094000150,,,,0 a 5
2521644000150,2521644000150,,,,0 a 5
14133477000150,14133477000150,,,,0 a 5
6021074000190,6021074000190,,,,0 a 5
7784989000110,7784989000110,,,,0 a 5
14550570000160,14550570000160,,,,0 a 5
14570622000160,14570622000160,,,,0 a 5
1052752000240,1052752000240,,,,0 a 5
9353200000100,9353200000100,,,,0 a 5
9102759000150,9102759000150,,,,0 a 5
9310725000150,9310725000150,,,,0 a 5
8374337000170,8374337000170,,,,0 a 5
8225677000130,8225677000130,,1.0,0.0,0 a 5
13865327000410,13865327000410,,,,0 a 5
15296818000170,15296818000170,,,,0 a 5
8402134000140,8402134000140,,,,0 a 5
59121624000100,59121624000100,,,,0 a 5
92112333000120,92112333000120,,1.0,0.0,0 a 5
8661339000140,8661339000140,,,,0 a 5
14577061000120,14577061000120,,1.0,0.0,0 a 5
14797432000180,14797432000180,,,,0 a 5
16700845000120,16700845000120,,,,0 a 5
14581505000100,14581505000100,,,,0 a 5
15309170000120,15309170000120,,,,0 a 5
14384803000100,14384803000100,,,,0 a 5
7104105000210,7104105000210,,,,0 a 5
15797920000150,15797920000150,,,,0 a 5
89809099000180,89809099000180,,,,0 a 5
88740717000110,88740717000110,,,,0 a 5
88485743000140,88485743000140,,,,0 a 5
29190576000140,29190576000140,,,,0 a 5
51444594000160,51444594000160,,,,0 a 5
60124799000150,60124799000150,,,,0 a 5
50962802000150,50962802000150,,,,0 a 5
56609704000110,56609704000110,,,,0 a 5
25278086000140,25278086000140,,,,0 a 5
31669633000110,31669633000110,,,,0 a 5
52817210000170,52817210000170,,,,0 a 5
29319787000130,29319787000130,,,,0 a 5
19304245000130,19304245000130,,,,0 a 5
50109289000150,50109289000150,,,,0 a 5
54677331000190,54677331000190,,,,0 a 5
52070638000100,52070638000100,,,,0 a 5
55228365000160,55228365000160,,,,0 a 5
64797277000170,64797277000170,,,,0 a 5
68747245000200,68747245000200,,,,0 a 5
73497265000110,73497265000110,,,,0 a 5
67048348000120,67048348000120,,,,0 a 5
76684166000640,76684166000640,,,,0 a 5
64069826000190,64069826000190,,,,0 a 5
72259583000180,72259583000180,,,,0 a 5
78677176000170,78677176000170,,,,0 a 5
71540447000100,71540447000100,,,,0 a 5
40402109000170,40402109000170,,,,0 a 5
42967455000120,42967455000120,,,,0 a 5
44907251000120,44907251000120,,,,0 a 5
44245108000110,44245108000110,,,,0 a 5
36902278000100,36902278000100,,,,0 a 5
33279563000110,33279563000110,,,,0 a 5
37274180000100,37274180000100,,,,0 a 5
43221084001330,43221084001330,,,,0 a 5
90613217000160,90613217000160,,,,0 a 5
93655918000150,93655918000150,,,,0 a 5
87876496000140,87876496000140,,,,0 a 5
89438311000140,89438311000140,,,,0 a 5
83704502000120,83704502000120,,,,0 a 5
94180098000150,94180098000150,,,,0 a 5
93817237000140,93817237000140,,,,0 a 5
96594700000120,96594700000120,,,,0 a 5
81797078000180,81797078000180,,,,0 a 5
94632130000190,94632130000190,,,,0 a 5
91546036000120,91546036000120,,,,0 a 5
19645365000100,19645365000100,,,,0 a 5
52289014000170,52289014000170,,,,0 a 5
30691836000140,30691836000140,,,,0 a 5
20555413000140,20555413000140,,,,0 a 5
20000204000130,20000204000130,,,,0 a 5
31170392000160,31170392000160,,,,0 a 5
27668193000100,27668193000100,,,,0 a 5
27357292000170,27357292000170,,,,0 a 5
32224826000120,32224826000120,,,,0 a 5
55614317000100,55614317000100,,,,0 a 5
61906053000160,61906053000160,,,,0 a 5
50986116000110,50986116000110,,,,0 a 5
27306927000100,27306927000100,,,,0 a 5
30441406000170,30441406000170,,,,0 a 5
59506311000170,59506311000170,,,,0 a 5
61005500000100,61005500000100,,,,0 a 5
16294894000100,16294894000100,,1.0,0.0,0 a 5
26528679000180,26528679000180,,,,0 a 5
61672473000120,61672473000120,,,,0 a 5
78993045000100,78993045000100,,,,0 a 5
21106364000120,21106364000120,,,,0 a 5
53768289000150,53768289000150,,,,0 a 5
71196976000120,71196976000120,,,,0 a 5
77650638000100,77650638000100,,,,0 a 5
79754792000140,79754792000140,,,,0 a 5
32431462000150,32431462000150,,,,0 a 5
73104580000130,73104580000130,,,,0 a 5
74081167000160,74081167000160,,,,0 a 5
73131021000110,73131021000110,,,,0 a 5
80101264000170,80101264000170,,,,0 a 5
78744604000130,78744604000130,,,,0 a 5
71367874000120,71367874000120,,,,0 a 5
76664895000120,76664895000120,,,,0 a 5
77480754000110,77480754000110,,,,0 a 5
75814319000230,75814319000230,,,,0 a 5
41909805000130,41909805000130,,,,0 a 5
48763809000100,48763809000100,,,,0 a 5
38857462000100,38857462000100,,,,0 a 5
43716505000160,43716505000160,,,,0 a 5
45533981000170,45533981000170,,,,0 a 5
53112561000300,53112561000300,,,,0 a 5
49464951000100,49464951000100,,,,0 a 5
41207010000180,41207010000180,,,,0 a 5
43325992000130,43325992000130,,,,0 a 5
32641367000180,32641367000180,,,,0 a 5
34955781000190,34955781000190,,,,0 a 5
36541985000100,36541985000100,,,,0 a 5
1756145000180,1756145000180,,,,0 a 5
57325557000110,57325557000110,,,,0 a 5
75814319000150,75814319000150,,,,0 a 5
7313662000160,7313662000160,,,,0 a 5
53278339000110,53278339000110,,,,0 a 5
26208694000140,26208694000140,,,,0 a 5
12496188000190,12496188000190,,,,0 a 5
54591094000140,54591094000140,,,,0 a 5
1433163000120,1433163000120,,,,0 a 5
1142967000170,1142967000170,,,,0 a 5
1712264000130,1712264000130,,,,0 a 5
2533201000180,2533201000180,,,,0 a 5
9790115000100,9790115000100,,,,0 a 5
10436563000180,10436563000180,,,,0 a 5
12220507000130,12220507000130,,,,0 a 5
4904391000120,4904391000120,,,,0 a 5
3901079000110,3901079000110,,2.0,0.0,0 a 5
13876515000100,13876515000100,,,,0 a 5
516281000130,516281000130,,,,0 a 5
14823970000100,14823970000100,,1.0,0.0,0 a 5
17001237000190,17001237000190,,,,0 a 5
14045278000190,14045278000190,,,,0 a 5
11769325000150,11769325000150,,,,0 a 5
13649275000100,13649275000100,,,,0 a 5
15375030000150,15375030000150,,,,0 a 5
14830545000130,14830545000130,,,,0 a 5
15351613000140,15351613000140,,,,0 a 5
15359272000150,15359272000150,,,,0 a 5
9719436000100,9719436000100,,2.0,1.0,0 a 5
13850287000190,13850287000190,,,,0 a 5
14023390000120,14023390000120,,,,0 a 5
849004000300,849004000300,,,,0 a 5
15971961000110,15971961000110,,,,0 a 5
13658549000110,13658549000110,,,,0 a 5
14312252000160,14312252000160,,,,0 a 5
37564887000150,37564887000150,,,,0 a 5
10500306000160,10500306000160,,,,0 a 5
3583686000260,3583686000260,,,,0 a 5
3619841000170,3619841000170,,,,0 a 5
88656293000100,88656293000100,,,,0 a 5
1243305000430,1243305000430,,,,0 a 5
1786092000140,1786092000140,,,,0 a 5
3937322000150,3937322000150,,,,0 a 5
799074000130,799074000130,,,,0 a 5
16849377000150,16849377000150,,,,0 a 5
3734601013790,3734601013790,,,,0 a 5
14814432000140,14814432000140,,,,0 a 5
13871224000110,13871224000110,,,,0 a 5
94064649000110,94064649000110,,,,0 a 5
8360628000100,8360628000100,,,,0 a 5
15156438000130,15156438000130,,,,0 a 5
15160571000160,15160571000160,,,,0 a 5
10357393000220,10357393000220,,,,0 a 5
8925731000150,8925731000150,,,,0 a 5
16053467000130,16053467000130,,,,0 a 5
14737392000180,14737392000180,,,,0 a 5
4569277000190,4569277000190,,,,0 a 5
7921293000270,7921293000270,,,,0 a 5
10944008000160,10944008000160,,,,0 a 5
5582594000100,5582594000100,,,,0 a 5
1051495000140,1051495000140,,,,0 a 5
57269763000150,57269763000150,,,,0 a 5
14452737000150,14452737000150,,1.0,0.0,0 a 5
13335552000100,13335552000100,,,,0 a 5
13878559000160,13878559000160,,,,0 a 5
13941989000180,13941989000180,,,,0 a 5
15182288000130,15182288000130,,,,0 a 5
15553446000110,15553446000110,,,,0 a 5
12164098000100,12164098000100,,,,0 a 5
7081651000100,7081651000100,,,,0 a 5
17283441000140,17283441000140,,,,0 a 5
7806565000100,7806565000100,,,,0 a 5
11050679000140,11050679000140,,,,0 a 5
13169734000140,13169734000140,,,,0 a 5
15190246000140,15190246000140,,,,0 a 5
16480744000190,16480744000190,,,,0 a 5
14465596000100,14465596000100,,,,0 a 5
9331590000100,9331590000100,,,,0 a 5
11306905000100,11306905000100,,,,0 a 5
15676707000190,15676707000190,,1.0,0.0,0 a 5
2300267000120,2300267000120,,,,0 a 5
81620106000190,81620106000190,,1.0,0.0,0 a 5
68035252000190,68035252000190,,,,0 a 5
14753183000120,14753183000120,,,,0 a 5
11185206000150,11185206000150,,,,0 a 5
95035473000130,95035473000130,,,,0 a 5
66351065000190,66351065000190,,,,0 a 5
48792485000120,48792485000120,,,,0 a 5
4617529000100,4617529000100,,,,0 a 5
7037992000170,7037992000170,,,,0 a 5
12783179000180,12783179000180,,,,0 a 5
4355056000110,4355056000110,,,,0 a 5
55492623000110,55492623000110,,,,0 a 5
11117576000150,11117576000150,,,,0 a 5
11694319000180,11694319000180,,,,0 a 5
9568108000150,9568108000150,,,,0 a 5
245285000120,245285000120,,,,0 a 5
739428000150,739428000150,,,,0 a 5
5953866000130,5953866000130,,,,0 a 5
16962677000140,16962677000140,,,,0 a 5
12563448000100,12563448000100,,,,0 a 5
311129000110,311129000110,,,,0 a 5
686049000140,686049000140,,,,0 a 5
919682000130,919682000130,,,,0 a 5
539650000100,539650000100,,,,0 a 5
416580000100,416580000100,,,,0 a 5
686974000170,686974000170,,,,0 a 5
26826255000100,26826255000100,,,,0 a 5
22260475000150,22260475000150,,,,0 a 5
7362228000170,7362228000170,,,,0 a 5
6276262000160,6276262000160,,,,0 a 5
5487230000140,5487230000140,,,,0 a 5
6318371000100,6318371000100,,,,0 a 5
9760567000130,9760567000130,,,,0 a 5
16932888000130,16932888000130,,,,0 a 5
3905542000100,3905542000100,,,,0 a 5
2686201000110,2686201000110,,,,0 a 5
97526837000100,97526837000100,,,,0 a 5
2484960000280,2484960000280,,,,0 a 5
6084773000180,6084773000180,,,,0 a 5
16618671000150,16618671000150,,,,0 a 5
3477630000140,3477630000140,,,,0 a 5
2937277000170,2937277000170,,,,0 a 5
6042798000110,6042798000110,,,,0 a 5
6658925000100,6658925000100,,,,0 a 5
2718174000110,2718174000110,,3.0,0.0,0 a 5
7028901000130,7028901000130,,1.0,3.0,0 a 5
11497569000120,11497569000120,,,,0 a 5
54796362000160,54796362000160,,,,0 a 5
8679162000100,8679162000100,,0.0,2.0,0 a 5
64807035000110,64807035000110,,,,0 a 5
15317884000180,15317884000180,,,,0 a 5
16941941000160,16941941000160,,,,0 a 5
5277788000100,5277788000100,,,,0 a 5
54093471000110,54093471000110,,,,0 a 5
16774603000180,16774603000180,,,,0 a 5
4251424000180,4251424000180,,,,0 a 5
87120762000100,87120762000100,,3.0,0.0,0 a 5
