cd_cnpj;cod_ordem;cod_ramo;desc_ramo;chave_cnae
09253073000160;0;1340599;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;13
05266699000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
12537293000120;0;1412602;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;14
09437544000190;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
00326297000180;0;4711301;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;47
14644627000190;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;82
13629575000110;0;4399101;ADMINISTRACAO DE OBRAS;43
15581916000150;0;1352900;FABRICACAO DE ARTEFATOS DE TAPECARIA;13
03471229000100;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
06230514000110;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
14894610000190;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
05438357000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
13401477000120;0;4751200;CASAS LOTERICAS;47
72833999000160;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
12481765000170;0;4729602;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
11771732000100;0;4763602;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;47
10441320000130;0;1622602;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS;16
10850466000130;0;3321000;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE;33
10480447000240;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
15697292000130;0;4771704;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;47
15217444000150;0;1066000;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;10
15220854000150;0;1622699;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;16
15740742000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
08216974000380;0;131800;CULTIVO DE LARANJA;1
01995195000110;0;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
03391792000160;0;4921301;TRANSPORTE ESCOLAR;49
08457794000390;0;111302;CULTIVO DE MILHO;1
14222846000180;0;4763602;ATIVIDADES DE CONDICIONAMENTO FISICO;47
07669934000160;0;4617600;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;46
06137179000100;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
01387360000150;0;8112500;CONDOMINIOS PREDIAIS;81
09545298000190;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
40484867000850;0;4711302;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS;47
48346043000150;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
13567044000140;0;5611201;RESTAURANTES E SIMILARES;56
13598884000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
04056122000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
04841694000140;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;45
66508078000120;0;8112500;CONDOMINIOS PREDIAIS;81
11726294000150;0;4744001;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
11959342000150;0;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
34481390000180;0;1351100;FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO;13
12555119000100;0;4712100;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
07907566000140;0;7312200;AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE, EXCETO EM VEICULOS DE COMUNICACAO;73
01682355000170;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
08455770000130;0;810099;EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO;8
74034307000140;0;4322302;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;43
14672094000150;0;1629302;FABRICACAO DE ARTEFATOS DIVERSOS DE CORTICA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANCADOS, EXCETO MOVEIS;16
02521644000150;0;4741500;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;47
14133477000150;0;4923001;SERVICO DE TAXI;49
06021074000190;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;45
07784989000110;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
14550570000160;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
14570622000160;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;82
01052752000240;0;8599601;FORMACAO DE CONDUTORES;85
09353200000100;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA;47
09102759000150;0;4782201;COMERCIO VAREJISTA DE CALCADOS;47
09310725000150;0;3250706;ATIVIDADE ODONTOLOGICA;32
08374337000170;0;113000;CRIACAO DE BOVINOS PARA CORTE;1
08225677000130;0;4330401;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;43
13865327000410;0;5611201;RESTAURANTES E SIMILARES;56
15296818000170;0;1351100;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;13
08402134000140;0;151201;CRIACAO DE BOVINOS PARA CORTE;1
59121624000100;0;3329501;COMERCIO VAREJISTA DE MOVEIS;33
92112333000120;0;4744002;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
08661339000140;0;6470101;FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS;64
14577061000120;0;8130300;ATIVIDADES PAISAGISTICAS;81
14797432000180;0;3511502;ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO;35
16700845000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
14581505000100;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
15309170000120;0;1020101;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;10
14384803000100;0;4924800;TRANSPORTE ESCOLAR;49
07104105000210;0;8599601;FORMACAO DE CONDUTORES;85
15797920000150;0;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;10
16294894000100;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
53112561000300;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
12220507000130;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
04904391000120;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
03901079000110;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
13876515000100;0;2063100;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;20
00516281000130;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
14823970000100;0;6511102;PLANOS DE AUXILIOFUNERAL;65
17001237000190;0;4110700;COMPRA E VENDA DE IMOVEIS PROPRIOS;41
14045278000190;0;4772500;ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS;47
11769325000150;0;8650002;ATIVIDADES DE PROFISSIONAIS DA NUTRICAO;86
13649275000100;0;2330305;ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTAO DE REDES;23
15375030000150;0;4399103;OBRAS DE ALVENARIA;43
14830545000130;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
15351613000140;0;4759801;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
15359272000150;0;5811500;EDICAO DE JORNAIS DIARIOS;58
09719436000100;0;1351100;ALUGUEL DE IMOVEIS PROPRIOS;13
13850287000190;0;5320202;SERVICOS DE ENTREGA RAPIDA;53
14023390000120;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;82
00849004000300;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
15971961000110;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
13658549000110;0;9329899;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;93
14312252000160;0;2539001;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;25
37564887000150;0;4212000;CONSTRUCAO DE OBRAS DE ARTE ESPECIAIS;42
10500306000160;0;8650003;ATIVIDADES DE FONOAUDIOLOGIA;86
03583686000260;0;7020400;ADMINISTRACAO DE CAIXAS ESCOLARES;70
03619841000170;0;4330499;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;43
01243305000430;0;4623199;COMERCIO ATACADISTA DE MATERIASPRIMAS AGRICOLAS NAO ESPECIFICADAS ANTERIORMENTE;46
01786092000140;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
03937322000150;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
00799074000130;0;6920601;ATIVIDADES DE CONTABILIDADE;69
16849377000150;0;4772500;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
03734601013790;0;4751200;COMERCIO VAREJISTA DE MOVEIS;47
14814432000140;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
13871224000110;0;4322302;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;43
94064649000110;0;1610201;SERRARIAS COM DESDOBRAMENTO DE MADEIRA;16
08360628000100;0;4120400;CONSTRUCAO DE EDIFICIOS;41
15156438000130;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
